Model,Raiting,RD,player,nickname
o3-mini,1929.0749839319567,261.5998471139188,x,J20
google/gemini-2.0-flash-thinking-exp:free,1846.2561132144056,258.85623822719225,o,J12
deepseek/deepseek-r1-distill-llama-70b:free,1818.8117474600604,282.5138571982404,x,J4
o1-mini,1748.0509504928193,261.50998262825084,o,J19
google/gemini-exp-1206:free,1681.412081467497,260.2258591484152,o,J15
google/gemini-2.0-flash-thinking-exp-1219:free,1674.9551186468575,260.3578154786325,o,J13
gpt-4o,1670.0965619285937,284.00762207462657,x,J18
deepseek/deepseek-r1:free,1659.9204518710478,256.79768194569607,x,J9
google/gemini-2.0-flash-exp:free,1620.284005507817,256.2231903120731,x,J14
google/gemini-2.0-pro-exp-02-05:free,1601.907536173968,251.92501377204567,o,J11
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1506.841470932254,266.07268924320147,o,J2
google/learnlm-1.5-pro-experimental:free,1478.0125459243768,252.68136197677887,o,J16
meta-llama/llama-3.3-70b-instruct:free,1474.2390686335837,277.6221719836532,x,J5
gpt-3.5-turbo-0125,1451.1521859439438,279.12576967965225,o,J17
google/gemini-2.0-flash-lite-preview-02-05:free,1445.316562823563,252.74792387706304,x,J10
nvidia/llama-3.1-nemotron-70b-instruct:free,1442.38704972347,278.51541776675856,x,J6
qwen/qwen2.5-vl-72b-instruct:free,1360.8758231562235,272.2988160746148,x,J7
sophosympatheia/rogue-rose-103b-v0.2:free,1328.0058351701348,246.3761411091715,o,J8
cognitivecomputations/dolphin3.0-mistral-24b:free,1274.3129735481534,278.6821584221619,o,J1
mistralai/mistral-small-24b-instruct-2501:free,1105.1945448893107,277.2172063877192,x,J3
