Model,Raiting,RD,player,nickname
o3-mini,1894.7376781152984,265.81111151118495,o,J20
o1-mini,1779.7808979526262,265.1027627271184,o,J19
google/gemini-2.0-flash-thinking-exp:free,1775.7250523997614,263.29406399906924,x,J12
gpt-4o,1750.4511937002576,289.3736023808047,x,J18
google/gemini-exp-1206:free,1750.033379059545,264.3829822403363,x,J15
deepseek/deepseek-r1-distill-llama-70b:free,1734.9143620804534,288.43559194311496,x,J4
deepseek/deepseek-r1:free,1695.6205790206277,261.3076798184007,x,J9
google/gemini-2.0-flash-thinking-exp-1219:free,1638.6570978009331,265.0704824225387,o,J13
google/gemini-2.0-flash-exp:free,1541.4342668545105,261.9477476295248,o,J14
gpt-3.5-turbo-0125,1539.887744321827,285.89734463217235,o,J17
nvidia/llama-3.1-nemotron-70b-instruct:free,1531.7080348372972,285.38969638171056,o,J6
google/gemini-2.0-pro-exp-02-05:free,1525.275905781839,257.4003745878081,o,J11
google/learnlm-1.5-pro-experimental:free,1478.8903215017967,258.30535177584846,x,J16
meta-llama/llama-3.3-70b-instruct:free,1472.8798306886538,285.7067349331621,x,J5
google/gemini-2.0-flash-lite-preview-02-05:free,1446.4924315875455,259.83019135249214,o,J10
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1396.9353399143606,277.2773809505671,o,J2
qwen/qwen2.5-vl-72b-instruct:free,1362.3371213951962,280.7453850586269,x,J7
sophosympatheia/rogue-rose-103b-v0.2:free,1327.0826786520504,252.4840486967006,x,J8
cognitivecomputations/dolphin3.0-mistral-24b:free,1272.9859167265126,286.7942206849949,o,J1
mistralai/mistral-small-24b-instruct-2501:free,1200.391637563945,285.1315016027333,x,J3
