id_match,modelo,jugador,estado,rubrica,explicacion,timestamp,execution_time,valid
ab5beb35-faf7-11ef-81b8-005056c00003,google/gemini-2.0-flash-lite-preview-02-05,x,en partida,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":2,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":2}","{""Comprensión de Reglas"":3 - Movimiento legal respetando turnos.,""Validez y Legalidad"":3 - Válido tras análisis completo.,""Razonamiento Estratégico"":2 - Intento básico de línea horizontal.,""Factualidad"":3 - Explicación precisa del tablero.,""Coherencia Explicativa"":3 - Justificación clara y lógica.,""Claridad Lingüística"":3 - Lenguaje preciso y correcto.,""Adaptabilidad"":2 - Apertura estándar sin adaptación necesaria.}",2025-03-07T01:58:35.398Z,1.6526085,1
ab5beb35-faf7-11ef-81b8-005056c00003,o3-mini,o,en partida,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":3,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":3}","{""Comprensión de Reglas"":3 - Respeta turnos y reglas.,""Validez y Legalidad"":3 - Válido con análisis estratégico.,""Razonamiento Estratégico"":3 - Control central con visión anticipatoria.,""Factualidad"":3 - Explicación alinea con estado real.,""Coherencia Explicativa"":3 - Lógica sólida y completa.,""Claridad Lingüística"":3 - Expresión clara y precisa.,""Adaptabilidad"":3 - Respuesta óptima al movimiento inicial.}",2025-03-07T01:58:43.817Z,5.3175431,1
ab5beb35-faf7-11ef-81b8-005056c00003,google/gemini-2.0-flash-lite-preview-02-05,x,en partida,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":2,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":3}","{""Comprensión de Reglas"":3 - Movimiento legal en turno correcto.,""Validez y Legalidad"":3 - Celda válida y disponible.,""Razonamiento Estratégico"":2 - Avance horizontal sin anticipar bloqueos.,""Factualidad"":3 - Descripción precisa del tablero.,""Coherencia Explicativa"":3 - Explicación alineada con la acción.,""Claridad Lingüística"":3 - Lenguaje claro y estructurado.,""Adaptabilidad"":3 - Ajuste táctico al control del centro.}",2025-03-07T01:58:48.640Z,1.4251797,1
ab5beb35-faf7-11ef-81b8-005056c00003,o3-mini,o,en partida,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":3,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":3}","{""Comprensión de Reglas"":3 - Respeta secuencia de turnos.,""Validez y Legalidad"":3 - Movimiento legal y necesario.,""Razonamiento Estratégico"":3 - Bloqueo efectivo de victoria rival.,""Factualidad"":3 - Explicación basada en estado real.,""Coherencia Explicativa"":3 - Justificación lógica y completa.,""Claridad Lingüística"":3 - Expresión precisa y entendible.,""Adaptabilidad"":3 - Adaptación inmediata a amenaza.}",2025-03-07T01:58:58.336Z,7.0994845,1
ab5beb35-faf7-11ef-81b8-005056c00003,google/gemini-2.0-flash-lite-preview-02-05,x,en partida,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":2,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":2}","{""Comprensión de Reglas"":3 - Turno respetado y celda válida.,""Validez y Legalidad"":3 - Movimiento ejecutado correctamente.,""Razonamiento Estratégico"":2 - Intento vertical sin visión de futuro.,""Factualidad"":3 - Descripción precisa del estado.,""Coherencia Explicativa"":3 - Explicación clara del objetivo.,""Claridad Lingüística"":3 - Redacción sin errores.,""Adaptabilidad"":2 - Respuesta básica a jugadas previas.}",2025-03-07T01:59:03.651Z,2.7029055,1
ab5beb35-faf7-11ef-81b8-005056c00003,o3-mini,o,victoria,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":3,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":3}","{""Comprensión de Reglas"":3 - Jugada legal en turno correspondiente.,""Validez y Legalidad"":3 - Movimiento válido y decisivo.,""Razonamiento Estratégico"":3 - Bloqueo y victoria diagonal simultánea.,""Factualidad"":3 - Explicación refleja estado real del tablero.,""Coherencia Explicativa"":3 - Justificación completa y lógica.,""Claridad Lingüística"":3 - Lenguaje preciso y técnico.,""Adaptabilidad"":3 - Adaptación táctica óptima.}",2025-03-07T01:59:16.187Z,9.7894482,1
f7e9893f-faf7-11ef-ab90-005056c00003,google/gemini-2.0-flash-thinking-exp,x,en partida,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":3,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":3}","{""Comprensión de Reglas"":3 - Inicio válido en centro.,""Validez y Legalidad"":3 - Movimiento estratégico legal.,""Razonamiento Estratégico"":3 - Control central con visión anticipatoria.,""Factualidad"":3 - Explicación alineada con el tablero.,""Coherencia Explicativa"":3 - Lógica sólida y completa.,""Claridad Lingüística"":3 - Expresión clara y técnica.,""Adaptabilidad"":3 - Estrategia inicial óptima.}",2025-03-07T02:00:45.180Z,2.8720898,1
f7e9893f-faf7-11ef-ab90-005056c00003,google/gemini-2.0-flash-exp,o,en partida,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":2,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":2}","{""Comprensión de Reglas"":3 - Movimiento legal en esquina.,""Validez y Legalidad"":3 - Celda disponible y válida.,""Razonamiento Estratégico"":2 - Apertura básica sin maximizar ventaja.,""Factualidad"":3 - Descripción precisa del estado.,""Coherencia Explicativa"":3 - Explicación clara pero superficial.,""Claridad Lingüística"":3 - Lenguaje correcto y estructurado.,""Adaptabilidad"":2 - Respuesta estándar al centro rival.}",2025-03-07T02:00:50.931Z,1.4063885,1
f7e9893f-faf7-11ef-ab90-005056c00003,google/gemini-2.0-flash-thinking-exp,x,en partida,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":3,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":3}","{""Comprensión de Reglas"":3 - Jugada legal en turno correcto.,""Validez y Legalidad"":3 - Movimiento válido y estratégico.,""Razonamiento Estratégico"":3 - Construcción de múltiples líneas ganadoras.,""Factualidad"":3 - Explicación basada en hechos reales.,""Coherencia Explicativa"":3 - Justificación completa y lógica.,""Claridad Lingüística"":3 - Expresión técnica precisa.,""Adaptabilidad"":3 - Adaptación óptima a movimientos previos.}",2025-03-07T02:01:01.067Z,5.7494745,1
f7e9893f-faf7-11ef-ab90-005056c00003,google/gemini-2.0-flash-exp,o,en partida,"{""Comprensión de Reglas"":3,""Validez y Legalidad"":3,""Razonamiento Estratégico"":3,""Factualidad"":3,""Coherencia Explicativa"":3,""Claridad Lingüística"":3,""Adaptabilidad"":3}","{""Comprensión de Reglas"":3 - Respeta turno y reglas.,""Validez y Legalidad"":3 - Movimiento necesario y legal.,""Razonamiento Estratégico"":3 - Bloqueo efectivo de victoria rival.,""Factualidad"":3 - Explicación precisa del tablero.,""Coherencia Explicativa"":3 - Lógica sólida y completa.,""Claridad Lingüística"":3 - Lenguaje claro y técnico.,""Adaptabilidad"":3 - Respuesta inmediata a amenaza inminente.}",2025-03-07T02:01:07.680Z,1.780615,1
