Model,Raiting,RD,player,nickname
google/gemini-2.0-flash-thinking-exp-1219:free,1791.1488387528266,284.65738202961927,o,J13
o3-mini,1742.6791466528937,285.4314940569466,o,J20
google/gemini-exp-1206:free,1695.6202105743623,284.79404318537183,x,J15
google/gemini-2.0-flash-thinking-exp:free,1694.0335909493413,284.82832441631035,o,J12
o1-mini,1693.7645828694035,285.07434568002304,o,J19
google/gemini-2.0-flash-exp:free,1656.231556515243,285.89941697213123,x,J14
google/gemini-2.0-pro-exp-02-05:free,1607.159576015892,284.02173585091845,o,J11
deepseek/deepseek-r1:free,1606.0040831811425,284.2333267817316,x,J9
gpt-4o,1530.151033842848,326.12014717759445,x,J18
meta-llama/llama-3.3-70b-instruct:free,1526.1272960473366,324.73789632524404,x,J5
google/gemini-2.0-flash-lite-preview-02-05:free,1510.698605637324,285.6307972616248,x,J10
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1504.832858210441,323.84661391314506,o,J2
gpt-3.5-turbo-0125,1495.548359471313,325.8778192706716,x,J17
cognitivecomputations/dolphin3.0-mistral-24b:free,1495.278469610888,324.877934724252,x,J1
deepseek/deepseek-r1-distill-llama-70b:free,1453.2947330697457,325.32164234076697,o,J4
mistralai/mistral-small-24b-instruct-2501:free,1435.4274559287362,324.8531492706719,o,J3
google/learnlm-1.5-pro-experimental:free,1412.0792446309426,285.2220788126576,o,J16
sophosympatheia/rogue-rose-103b-v0.2:free,1403.6932773448066,282.5054185294256,o,J8
qwen/qwen2.5-vl-72b-instruct:free,1380.017854044242,324.701415241553,x,J7
nvidia/llama-3.1-nemotron-70b-instruct:free,1366.192777029411,324.1956530109241,x,J6
