row_number,id_match,model,nickname,player,num_invalidos,num_valid_plays,avg_execution_time,win_status,old_raiting,old_RD,new_raiting,new_RD,appearance_order
11,4f8b3cbb-00fb-11f0-961f-005056c00003,o3-mini,J20,x,0,4,9.238032099994598,1,1742.6791466528937,285.4314940569466,1782.5513386644884,282.76798888596926,1
12,4f8b3cbb-00fb-11f0-961f-005056c00003,google/gemini-2.0-flash-thinking-exp-1219:free,J13,o,0,3,7.591267924988642,0,1791.1488387528266,284.65738202961927,1751.3099535369618,281.99114448795785,1
4,3db5f26d-00eb-11f0-8112-005056c00003,google/gemini-exp-1206:free,J15,o,0,3,2.742876166671825,1,1695.6202105743623,284.79404318537183,1738.3995500213648,281.6789088681141,1
5,3eb5d17e-00f7-11f0-9852-005056c00003,o1-mini,J19,x,0,4,10.271551100013312,1,1693.7645828694035,285.07434568002304,1736.5313684475607,281.9644620887201,1
3,3db5f26d-00eb-11f0-8112-005056c00003,google/gemini-2.0-flash-thinking-exp:free,J12,x,0,3,7.36833799999052,0,1694.0335909493413,284.82832441631035,1652.2545092598746,281.87074041961495,1
23,8b9a40da-00ed-11f0-9268-005056c00003,deepseek/deepseek-r1:free,J9,x,0,4,43.73553097501281,1,1606.0040831811425,284.2333267817316,1649.7162371560744,280.9609833595175,1
6,3eb5d17e-00f7-11f0-9852-005056c00003,google/gemini-2.0-flash-exp:free,J14,o,0,3,2.9890749666374177,0,1656.231556515243,285.89941697213123,1615.0635214349986,283.0471378096094,1
8,41e388b8-00f9-11f0-ad15-005056c00003,gpt-4o,J18,o,0,3,4.29902220001289,1,1530.151033842848,326.12014717759445,1592.09174710197,320.12046324289867,1
24,8b9a40da-00ed-11f0-9268-005056c00003,google/gemini-2.0-pro-exp-02-05:free,J11,o,0,3,4.0621279750193935,0,1607.159576015892,284.02173585091845,1564.5460566074526,280.9240225897105,1
16,77ab0516-0977-11f0-8a3b-9cb6d0f8066e,cognitivecomputations/dolphin3.0-mistral-24b:free,J1,o,2,3,3.2290413666826985,1,1495.278469610888,324.877934724252,1557.9830280131296,318.6912402330731,1
9,4a199cc3-0976-11f0-86b4-9cb6d0f8066e,google/gemini-2.0-flash-lite-preview-02-05:free,J10,x,0,3,2.10942743322812,1,1510.698605637324,285.6307972616248,1557.5550265098548,281.8433279302139,1
2,25dd10ac-00f1-11f0-af13-005056c00003,deepseek/deepseek-r1-distill-llama-70b:free,J4,o,1,3,32.5892067666864,1,1453.2947330697457,325.32164234076697,1518.612530045217,318.5736557909699,1
7,41e388b8-00f9-11f0-ad15-005056c00003,meta-llama/llama-3.3-70b-instruct:free,J5,x,0,3,4.021131674991921,0,1526.1272960473366,324.73789632524404,1466.9521605885361,319.2758637803351,1
14,63c1a4cf-00f5-11f0-93c0-005056c00003,google/learnlm-1.5-pro-experimental:free,J16,o,0,3,2.737950800025525,1,1412.0792446309426,285.2220788126576,1463.4025672477487,280.59760788597333,1
10,4a199cc3-0976-11f0-86b4-9cb6d0f8066e,cognitivecomputations/dolphin3.0-r1-mistral-24b:free,J2,o,0,2,20.427904950105585,0,1504.832858210441,323.84661391314506,1446.8989341374702,318.6128776755972,1
15,77ab0516-0977-11f0-8a3b-9cb6d0f8066e,gpt-3.5-turbo-0125,J17,x,0,3,1.3046138000208884,0,1495.548359471313,325.8778192706716,1434.7358798296787,320.10680906701054,1
17,7abc415f-00f6-11f0-bba3-005056c00003,nvidia/llama-3.1-nemotron-70b-instruct:free,J6,x,1,4,4.4233982500154525,1,1366.192777029411,324.1956530109241,1430.808904987827,317.5781888038916,1
1,25dd10ac-00f1-11f0-af13-005056c00003,mistralai/mistral-small-24b-instruct-2501:free,J3,x,1,3,3.8450060250179376,0,1435.4274559287362,324.8531492706719,1373.438392210831,318.81748259863815,1
13,63c1a4cf-00f5-11f0-93c0-005056c00003,sophosympatheia/rogue-rose-103b-v0.2:free,J8,x,0,3,3.9538639500096906,0,1403.6932773448066,282.5054185294256,1355.1235522816664,278.36102166254966,1
18,7abc415f-00f6-11f0-bba3-005056c00003,qwen/qwen2.5-vl-72b-instruct:free,J7,o,0,3,9.795488300034776,0,1380.017854044242,324.701415241553,1317.2274683489807,318.4926676756957,1
34,c7df60cc-00f8-11f0-b966-005056c00003,o3-mini,J20,o,0,4,13.408082099980676,1,1782.5513386644884,282.76798888596926,1823.3727957975723,279.93531237634795,2
36,c9452158-00fa-11f0-ab23-005056c00003,o1-mini,J19,o,0,3,6.3261208666566136,1,1736.5313684475607,281.9644620887201,1780.3774760932604,278.64189523122224,2
21,7f4a7682-00ea-11f0-bff6-005056c00003,google/gemini-exp-1206:free,J15,x,0,4,1.9950702749774791,1,1738.3995500213648,281.6789088681141,1780.2703786002776,278.671830386781,2
33,c7df60cc-00f8-11f0-b966-005056c00003,google/gemini-2.0-flash-thinking-exp-1219:free,J13,x,0,4,8.21870073999744,0,1751.3099535369618,281.99114448795785,1712.1983431794547,279.40535816134275,2
29,a97fcd6b-00f7-11f0-909b-005056c00003,gpt-4o,J18,x,0,3,1.531954766678003,1,1592.09174710197,320.12046324289867,1651.8581530496633,314.4516702135001,2
22,7f4a7682-00ea-11f0-bff6-005056c00003,google/gemini-2.0-flash-thinking-exp:free,J12,o,0,3,4.790499149996322,0,1652.2545092598746,281.87074041961495,1613.1289477013986,279.2817567787982,2
26,902437d0-00eb-11f0-9592-005056c00003,deepseek/deepseek-r1:free,J9,o,2,4,42.88984852502472,0,1649.7162371560744,280.9609833595175,1606.9577749057555,277.8040049130251,2
28,9d140e58-09a3-11f0-924f-9cb6d0f8066e,google/gemini-2.0-flash-lite-preview-02-05:free,J10,o,2,3,1.9905526998918504,1,1557.5550265098548,281.8433279302139,1606.5661026316684,277.60571918232625,2
25,902437d0-00eb-11f0-9592-005056c00003,google/gemini-2.0-pro-exp-02-05:free,J11,x,0,5,3.9178565399954097,1,1564.5460566074526,280.9240225897105,1606.2571442252558,277.93352387727975,2
19,7dc2bad6-00f0-11f0-8aa4-005056c00003,deepseek/deepseek-r1-distill-llama-70b:free,J4,x,0,4,30.375910525006475,1,1518.612530045217,318.5736557909699,1581.3596522578716,312.24177079117374,2
35,c9452158-00fa-11f0-ab23-005056c00003,google/gemini-2.0-flash-exp:free,J14,x,0,3,3.834507200022927,0,1615.0635214349986,283.0471378096094,1574.694798843161,280.2858683017152,2
