Model,Raiting,RD,player,nickname
google/gemini-2.0-flash-thinking-exp-1219:free,1859.2405520213968,231.7391292051532,o,J13
o1-mini,1792.7122820223883,229.7388151513161,o,J19
google/gemini-2.0-flash-thinking-exp:free,1784.3755056601326,224.8600522251235,o,J12
o3-mini,1769.0629306468263,224.5671935787219,o,J20
google/gemini-exp-1206:free,1768.5519976225014,231.3588559985849,x,J15
deepseek/deepseek-r1:free,1690.9113564664444,225.12226428411665,x,J9
google/gemini-2.0-pro-exp-02-05:free,1683.7851319332324,230.81242252194764,o,J11
google/gemini-2.0-flash-exp:free,1628.832912276074,224.56654058677705,x,J14
gpt-3.5-turbo-0125,1561.0608000189663,252.5866998370708,x,J17
cognitivecomputations/dolphin3.0-mistral-24b:free,1532.237090341916,251.73005194235063,x,J1
gpt-4o,1446.7425871400883,246.40535369403557,x,J18
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1439.1379115473012,252.24640166467296,o,J2
nvidia/llama-3.1-nemotron-70b-instruct:free,1435.9109650297837,246.2216542261414,x,J6
google/gemini-2.0-flash-lite-preview-02-05:free,1415.6244946059978,224.860051667304,x,J10
meta-llama/llama-3.3-70b-instruct:free,1408.672747464323,243.39854791594004,x,J5
mistralai/mistral-small-24b-instruct-2501:free,1398.5537722050476,251.73005347786216,o,J3
deepseek/deepseek-r1-distill-llama-70b:free,1364.518501177102,245.4613271961354,o,J4
sophosympatheia/rogue-rose-103b-v0.2:free,1337.7970446571287,231.29743773651745,o,J8
google/learnlm-1.5-pro-experimental:free,1321.6199800204129,225.12226424831167,o,J16
qwen/qwen2.5-vl-72b-instruct:free,1286.9412561071558,244.88065336670945,x,J7
