Model,Raiting,RD,player,nickname
o3-mini,1994.962352442497,257.7697422012161,o,J20
google/gemini-2.0-flash-thinking-exp:free,1786.195122995145,255.72453175717607,x,J12
o1-mini,1780.6778806703178,257.6991014513668,x,J19
deepseek/deepseek-r1-distill-llama-70b:free,1780.2536447251816,277.27983930006155,o,J4
google/gemini-2.0-flash-thinking-exp-1219:free,1746.3723197546997,255.7397161247577,x,J13
deepseek/deepseek-r1:free,1730.166516561398,252.28266601069868,x,J9
google/gemini-2.0-pro-exp-02-05:free,1671.271995303868,247.44620468447903,o,J11
google/gemini-exp-1206:free,1612.5186691144177,255.9612639954934,o,J15
gpt-4o,1587.8072529762026,278.2329589629377,o,J18
google/learnlm-1.5-pro-experimental:free,1565.2717236346357,245.22357494146013,x,J16
google/gemini-2.0-flash-exp:free,1550.6707785393437,251.7888458555713,x,J14
gpt-3.5-turbo-0125,1543.8135370126538,271.49139190864986,x,J17
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1504.9514807026133,256.1704065816003,x,J2
google/gemini-2.0-flash-lite-preview-02-05:free,1446.110117791838,247.27318293306507,o,J10
nvidia/llama-3.1-nemotron-70b-instruct:free,1441.2597256643282,271.4685200174927,x,J6
meta-llama/llama-3.3-70b-instruct:free,1386.227263600974,270.75265125108075,o,J5
qwen/qwen2.5-vl-72b-instruct:free,1362.25333439744,264.16992513151047,o,J7
sophosympatheia/rogue-rose-103b-v0.2:free,1327.2164313992596,241.0973521151992,x,J8
cognitivecomputations/dolphin3.0-mistral-24b:free,1186.9069321610266,271.9457639251158,o,J1
mistralai/mistral-small-24b-instruct-2501:free,1106.2041158943357,270.4705533985866,o,J3
